Day,Visitor Team #,Visitor Team,Home Team #,Home Team,Visitor Team #,Visitor Team,Home Team #,Home Team
77,13,Florida Panthers,24,Pittsburgh Penguins ,-,-,-,-
77,17,Nashville Predators,7,Chicago Blackhawks ,-,-,-,-
78,16,Montreal Canadiens,6,Carolina Hurricanes ,-,-,-,-
78,13,Florida Panthers,4,Buffalo Sabres ,-,-,-,-
78,19,New York Islanders,18,New Jersey Devils ,-,-,-,-
78,24,Pittsburgh Penguins,30,Washington Capitals ,-,-,-,-
78,29,Vancouver Canucks,9,Columbus Blue Jackets ,-,-,-,-
78,27,Tampa Bay Lightning,20,New York Rangers ,-,-,-,-
78,2,Atlanta Thrashers,3,Boston Bruins ,-,-,-,-
78,21,Ottawa Senators,17,Nashville Predators ,-,-,-,-
78,11,Detroit Red Wings,25,St.Louis Blues ,-,-,-,-
78,5,Calgary Flames,10,Dallas Stars ,-,-,-,-
78,15,Minnesota Wild,8,Colorado Avalanche ,-,-,-,-
78,12,Edmonton Oilers,14,Los Angeles Kings ,-,-,-,-
78,23,Phoenix Coyotes,26,San Jose Sharks ,-,-,-,-
81,11,Detroit Red Wings,15,Minnesota Wild ,20,Hartford Wolf Pack,19,Bridgeport Sound Tigers
81,27,Tampa Bay Lightning,2,Atlanta Thrashers ,3,Providence Bruins,9,Springfield Falcons
81,9,Columbus Blue Jackets,7,Chicago Blackhawks ,16,Hamilton Bulldogs,28,Toronto Marlies
81,17,Nashville Predators,25,St.Louis Blues ,8,Lake Erie Monsters,11,Grand Rapids Griffins
81,28,Toronto Maple Leafs,18,New Jersey Devils ,27,Norfolk Admirals,30,Hershey Bears
81,30,Washington Capitals,6,Carolina Hurricanes ,22,Adirondack Phantoms,21,Binghampton Senators
81,24,Pittsburgh Penguins,21,Ottawa Senators ,10,Dallas Stars,15,Houston Aeros
81,16,Montreal Canadiens,19,New York Islanders ,1,Syracuse Crunch,13,Rochester Americans
81,23,Phoenix Coyotes,10,Dallas Stars ,18,Albany Devils,24,Wilkes-Barre/Scranton Penguins
81,1,Anaheim Ducks,14,Los Angeles Kings ,4,Portland Pirates,26,Worcester Sharks
81,12,Edmonton Oilers,29,Vancouver Canucks ,17,Milwaukee Admirals,7,Rockford IceHogs
82,19,New York Islanders,20,New York Rangers ,9,Springfield Falcons,14,Manchester Monarchs
82,15,Minnesota Wild,9,Columbus Blue Jackets ,11,Grand Rapids Griffins,2,Chicago Wolves
82,3,Boston Bruins,13,Florida Panthers ,15,Houston Aeros,23,San Antonio Rampage
82,11,Detroit Red Wings,8,Colorado Avalanche ,25,Peoria Rivermen,29,Manitoba Moose
82,4,Buffalo Sabres,5,Calgary Flames ,-,-,-,-
82,14,Los Angeles Kings,26,San Jose Sharks ,-,-,-,-
83,16,Montreal Canadiens,30,Washington Capitals ,3,Providence Bruins,4,Portland Pirates
83,6,Carolina Hurricanes,28,Toronto Maple Leafs ,19,Bridgeport Sound Tigers,18,Albany Devils
83,2,Atlanta Thrashers,24,Pittsburgh Penguins ,2,Chicago Wolves,16,Hamilton Bulldogs
83,3,Boston Bruins,27,Tampa Bay Lightning ,21,Binghampton Senators,30,Hershey Bears
83,7,Chicago Blackhawks,25,St.Louis Blues ,22,Adirondack Phantoms,1,Syracuse Crunch
83,10,Dallas Stars,17,Nashville Predators ,6,Charlotte Checkers,27,Norfolk Admirals
83,4,Buffalo Sabres,12,Edmonton Oilers ,7,Rockford IceHogs,17,Milwaukee Admirals
83,1,Anaheim Ducks,23,Phoenix Coyotes ,10,Dallas Stars,12,Oklahoma City Barons
83,22,Philadelphia Flyers,29,Vancouver Canucks ,25,Peoria Rivermen,29,Manitoba Moose
84,20,New York Rangers,18,New Jersey Devils ,14,Manchester Monarchs,22,Adirondack Phantoms
84,24,Pittsburgh Penguins,19,New York Islanders ,4,Portland Pirates,20,Hartford Wolf Pack
84,6,Carolina Hurricanes,21,Ottawa Senators ,13,Rochester Americans,8,Lake Erie Monsters
84,26,San Jose Sharks,15,Minnesota Wild ,26,Worcester Sharks,9,Springfield Falcons
84,11,Detroit Red Wings,10,Dallas Stars ,2,Chicago Wolves,28,Toronto Marlies
84,14,Los Angeles Kings,23,Phoenix Coyotes ,1,Syracuse Crunch,24,Wilkes-Barre/Scranton Penguins
84,-,-,-,-,15,Houston Aeros,17,Milwaukee Admirals
84,-,-,-,-,12,Oklahoma City Barons,23,San Antonio Rampage
85,9,Columbus Blue Jackets,28,Toronto Maple Leafs ,8,Lake Erie Monsters,16,Hamilton Bulldogs
85,3,Boston Bruins,2,Atlanta Thrashers ,13,Rochester Americans,28,Toronto Marlies
85,16,Montreal Canadiens,27,Tampa Bay Lightning ,19,Bridgeport Sound Tigers,26,Worcester Sharks
85,26,San Jose Sharks,7,Chicago Blackhawks ,6,Charlotte Checkers,27,Norfolk Admirals
85,8,Colorado Avalanche,12,Edmonton Oilers ,15,Houston Aeros,7,Rockford IceHogs
85,22,Philadelphia Flyers,14,Los Angeles Kings ,30,Hershey Bears,24,Wilkes-Barre/Scranton Penguins
85,-,-,-,-,10,Dallas Stars,5,Abbotsford Heat
86,2,Atlanta Thrashers,18,New Jersey Devils ,26,Worcester Sharks,19,Bridgeport Sound Tigers
86,16,Montreal Canadiens,13,Florida Panthers ,9,Springfield Falcons,22,Adirondack Phantoms
86,17,Nashville Predators,15,Minnesota Wild ,1,Syracuse Crunch,30,Hershey Bears
86,19,New York Islanders,11,Detroit Red Wings ,2,Chicago Wolves,29,Manitoba Moose
86,21,Ottawa Senators,9,Columbus Blue Jackets ,20,Hartford Wolf Pack,4,Portland Pirates
86,23,Phoenix Coyotes,25,St.Louis Blues ,28,Toronto Marlies,11,Grand Rapids Griffins
86,22,Philadelphia Flyers,1,Anaheim Ducks ,18,Albany Devils,21,Binghampton Senators
86,29,Vancouver Canucks,10,Dallas Stars ,3,Providence Bruins,14,Manchester Monarchs
86,8,Colorado Avalanche,5,Calgary Flames ,17,Milwaukee Admirals,25,Peoria Rivermen
86,-,-,-,-,12,Oklahoma City Barons,23,San Antonio Rampage
86,-,-,-,-,10,Dallas Stars,5,Abbotsford Heat
87,30,Washington Capitals,24,Pittsburgh Penguins ,18,Albany Devils,22,Adirondack Phantoms
87,3,Boston Bruins,4,Buffalo Sabres ,21,Binghampton Senators,6,Charlotte Checkers
87,28,Toronto Maple Leafs,21,Ottawa Senators ,25,Peoria Rivermen,11,Grand Rapids Griffins
87,18,New Jersey Devils,6,Carolina Hurricanes ,3,Providence Bruins,20,Hartford Wolf Pack
87,20,New York Rangers,27,Tampa Bay Lightning ,14,Manchester Monarchs,9,Springfield Falcons
87,26,San Jose Sharks,14,Los Angeles Kings ,27,Norfolk Admirals,24,Wilkes-Barre/Scranton Penguins
87,5,Calgary Flames,12,Edmonton Oilers ,16,Hamilton Bulldogs,8,Lake Erie Monsters
87,-,-,-,-,1,Syracuse Crunch,13,Rochester Americans
87,-,-,-,-,7,Rockford IceHogs,12,Oklahoma City Barons
87,-,-,-,-,2,Chicago Wolves,29,Manitoba Moose
87,-,-,-,-,23,San Antonio Rampage,15,Houston Aeros
88,2,Atlanta Thrashers,16,Montreal Canadiens ,3,Providence Bruins,19,Bridgeport Sound Tigers
88,20,New York Rangers,13,Florida Panthers ,21,Binghampton Senators,6,Charlotte Checkers
88,22,Philadelphia Flyers,11,Detroit Red Wings ,14,Manchester Monarchs,20,Hartford Wolf Pack
88,10,Dallas Stars,25,St.Louis Blues ,4,Portland Pirates,26,Worcester Sharks
88,9,Columbus Blue Jackets,17,Nashville Predators ,1,Syracuse Crunch,18,Albany Devils
88,23,Phoenix Coyotes,15,Minnesota Wild ,7,Rockford IceHogs,12,Oklahoma City Barons
88,7,Chicago Blackhawks,1,Anaheim Ducks ,27,Norfolk Admirals,30,Hershey Bears
88,29,Vancouver Canucks,8,Colorado Avalanche ,22,Adirondack Phantoms,13,Rochester Americans
88,-,-,-,-,23,San Antonio Rampage,17,Milwaukee Admirals
89,3,Boston Bruins,28,Toronto Maple Leafs ,29,Manitoba Moose,5,Abbotsford Heat
89,13,Florida Panthers,6,Carolina Hurricanes ,-,-,-,-
89,19,New York Islanders,5,Calgary Flames ,-,-,-,-
89,29,Vancouver Canucks,26,San Jose Sharks ,-,-,-,-
89,7,Chicago Blackhawks,14,Los Angeles Kings ,-,-,-,-
90,15,Minnesota Wild,18,New Jersey Devils ,24,Wilkes-Barre/Scranton Penguins,6,Charlotte Checkers
90,27,Tampa Bay Lightning,30,Washington Capitals ,13,Rochester Americans,8,Lake Erie Monsters
90,9,Columbus Blue Jackets,23,Phoenix Coyotes ,29,Manitoba Moose,5,Abbotsford Heat
90,11,Detroit Red Wings,12,Edmonton Oilers ,-,-,-,-
90,4,Buffalo Sabres,8,Colorado Avalanche ,-,-,-,-
91,27,Tampa Bay Lightning,24,Pittsburgh Penguins ,22,Adirondack Phantoms,18,Albany Devils
91,6,Carolina Hurricanes,20,New York Rangers ,4,Portland Pirates,19,Bridgeport Sound Tigers
91,2,Atlanta Thrashers,13,Florida Panthers ,24,Wilkes-Barre/Scranton Penguins,6,Charlotte Checkers
91,10,Dallas Stars,7,Chicago Blackhawks ,16,Hamilton Bulldogs,11,Grand Rapids Griffins
91,5,Calgary Flames,29,Vancouver Canucks ,20,Hartford Wolf Pack,26,Worcester Sharks
91,17,Nashville Predators,1,Anaheim Ducks ,28,Toronto Marlies,2,Chicago Wolves
91,-,-,-,-,23,San Antonio Rampage,25,Peoria Rivermen
92,25,St. Louis Blues,28,Toronto Maple Leafs ,11,Grand Rapids Griffins,17,Milwaukee Admirals
92,22,Philadelphia Flyers,18,New Jersey Devils ,-,-,-,-
92,15,Minnesota Wild,3,Boston Bruins ,-,-,-,-
92,24,Pittsburgh Penguins,16,Montreal Canadiens ,-,-,-,-
92,23,Phoenix Coyotes,8,Colorado Avalanche ,-,-,-,-
92,19,New York Islanders,12,Edmonton Oilers ,-,-,-,-
92,17,Nashville Predators,14,Los Angeles Kings ,-,-,-,-
92,4,Buffalo Sabres,26,San Jose Sharks ,-,-,-,-
93,28,Toronto Maple Leafs,2,Atlanta Thrashers ,6,Charlotte Checkers,18,Albany Devils
93,6,Carolina Hurricanes,13,Florida Panthers ,9,Springfield Falcons,4,Portland Pirates
93,21,Ottawa Senators,7,Chicago Blackhawks ,1,Syracuse Crunch,21,Binghampton Senators
93,20,New York Rangers,10,Dallas Stars ,14,Manchester Monarchs,3,Providence Bruins
93,11,Detroit Red Wings,5,Calgary Flames ,19,Bridgeport Sound Tigers,24,Wilkes-Barre/Scranton Penguins
93,9,Columbus Blue Jackets,1,Anaheim Ducks ,20,Hartford Wolf Pack,27,Norfolk Admirals
93,12,Edmonton Oilers,29,Vancouver Canucks ,10,Dallas Stars,23,San Antonio Rampage
93,-,-,-,-,25,Peoria Rivermen,12,Oklahoma City Barons
93,-,-,-,-,28,Toronto Marlies,7,Rockford IceHogs
93,-,-,-,-,30,Hershey Bears,29,Manitoba Moose
93,-,-,-,-,8,Lake Erie Monsters,15,Houston Aeros
93,-,-,-,-,22,Adirondack Phantoms,5,Abbotsford Heat
94,18,New Jersey Devils,22,Philadelphia Flyers ,1,Syracuse Crunch,18,Albany Devils
94,19,New York Islanders,8,Colorado Avalanche ,14,Manchester Monarchs,4,Portland Pirates
94,27,Tampa Bay Lightning,21,Ottawa Senators ,6,Charlotte Checkers,9,Springfield Falcons
94,3,Boston Bruins,16,Montreal Canadiens ,13,Rochester Americans,21,Binghampton Senators
94,13,Florida Panthers,30,Washington Capitals ,25,Peoria Rivermen,12,Oklahoma City Barons
94,15,Minnesota Wild,24,Pittsburgh Penguins ,3,Providence Bruins,24,Wilkes-Barre/Scranton Penguins
94,4,Buffalo Sabres,23,Phoenix Coyotes ,20,Hartford Wolf Pack,27,Norfolk Admirals
94,17,Nashville Predators,26,San Jose Sharks ,26,Worcester Sharks,19,Bridgeport Sound Tigers
94,20,New York Rangers,25,St.Louis Blues ,16,Hamilton Bulldogs,2,Chicago Wolves
94,11,Detroit Red Wings,29,Vancouver Canucks ,28,Toronto Marlies,17,Milwaukee Admirals
94,9,Columbus Blue Jackets,14,Los Angeles Kings ,15,Houston Aeros,23,San Antonio Rampage
94,-,-,-,-,8,Lake Erie Monsters,10,Dallas Stars
94,-,-,-,-,11,Grand Rapids Griffins,7,Rockford IceHogs
94,-,-,-,-,30,Hershey Bears,29,Manitoba Moose
94,-,-,-,-,22,Adirondack Phantoms,5,Abbotsford Heat
95,2,Atlanta Thrashers,6,Carolina Hurricanes ,9,Springfield Falcons,26,Worcester Sharks
95,27,Tampa Bay Lightning,18,New Jersey Devils ,28,Toronto Marlies,2,Chicago Wolves
95,10,Dallas Stars,15,Minnesota Wild ,21,Binghampton Senators,3,Providence Bruins
95,19,New York Islanders,7,Chicago Blackhawks ,23,San Antonio Rampage,15,Houston Aeros
95,26,San Jose Sharks,1,Anaheim Ducks ,16,Hamilton Bulldogs,17,Milwaukee Admirals
95,-,-,-,-,8,Lake Erie Monsters,12,Oklahoma City Barons
96,3,Boston Bruins,24,Pittsburgh Penguins ,-,-,-,-
96,23,Phoenix Coyotes,25,St.Louis Blues ,-,-,-,-
96,11,Detroit Red Wings,8,Colorado Avalanche ,-,-,-,-
96,28,Toronto Maple Leafs,14,Los Angeles Kings ,-,-,-,-
97,16,Montreal Canadiens,20,New York Rangers ,21,Binghampton Senators,4,Portland Pirates
97,29,Vancouver Canucks,19,New York Islanders ,18,Albany Devils,26,Worcester Sharks
97,22,Philadelphia Flyers,4,Buffalo Sabres ,6,Charlotte Checkers,27,Norfolk Admirals
97,5,Calgary Flames,6,Carolina Hurricanes ,-,-,-,-
97,23,Phoenix Coyotes,9,Columbus Blue Jackets ,-,-,-,-
97,21,Ottawa Senators,3,Boston Bruins ,-,-,-,-
97,30,Washington Capitals,13,Florida Panthers ,-,-,-,-
97,15,Minnesota Wild,17,Nashville Predators ,-,-,-,-
97,12,Edmonton Oilers,10,Dallas Stars ,-,-,-,-
97,28,Toronto Maple Leafs,26,San Jose Sharks ,-,-,-,-
98,30,Washington Capitals,27,Tampa Bay Lightning ,10,Dallas Stars,2,Chicago Wolves
98,24,Pittsburgh Penguins,16,Montreal Canadiens ,8,Lake Erie Monsters,16,Hamilton Bulldogs
98,8,Colorado Avalanche,7,Chicago Blackhawks ,15,Houston Aeros,7,Rockford IceHogs
98,25,St. Louis Blues,1,Anaheim Ducks ,14,Manchester Monarchs,6,Charlotte Checkers
99,6,Carolina Hurricanes,4,Buffalo Sabres ,11,Grand Rapids Griffins,23,San Antonio Rampage
99,29,Vancouver Canucks,20,New York Rangers ,12,Oklahoma City Barons,25,Peoria Rivermen
99,21,Ottawa Senators,19,New York Islanders ,17,Milwaukee Admirals,29,Manitoba Moose
99,22,Philadelphia Flyers,3,Boston Bruins ,-,-,-,-
99,17,Nashville Predators,13,Florida Panthers ,-,-,-,-
99,28,Toronto Maple Leafs,23,Phoenix Coyotes ,-,-,-,-
99,25,St. Louis Blues,14,Los Angeles Kings ,-,-,-,-
99,12,Edmonton Oilers,26,San Jose Sharks ,-,-,-,-
100,29,Vancouver Canucks,30,Washington Capitals ,21,Binghampton Senators,18,Albany Devils
100,11,Detroit Red Wings,9,Columbus Blue Jackets ,14,Manchester Monarchs,6,Charlotte Checkers
100,18,New Jersey Devils,27,Tampa Bay Lightning ,1,Syracuse Crunch,16,Hamilton Bulldogs
100,5,Calgary Flames,21,Ottawa Senators ,20,Hartford Wolf Pack,4,Portland Pirates
100,22,Philadelphia Flyers,2,Atlanta Thrashers ,24,Wilkes-Barre/Scranton Penguins,3,Providence Bruins
100,8,Colorado Avalanche,15,Minnesota Wild ,30,Hershey Bears,22,Adirondack Phantoms
100,-,-,-,-,19,Bridgeport Sound Tigers,27,Norfolk Admirals
100,-,-,-,-,26,Worcester Sharks,9,Springfield Falcons
100,-,-,-,-,8,Lake Erie Monsters,13,Rochester Americans
100,-,-,-,-,12,Oklahoma City Barons,25,Peoria Rivermen
100,-,-,-,-,10,Dallas Stars,7,Rockford IceHogs
100,-,-,-,-,15,Houston Aeros,2,Chicago Wolves
100,-,-,-,-,28,Toronto Marlies,5,Abbotsford Heat
101,24,Pittsburgh Penguins,3,Boston Bruins ,24,Wilkes-Barre/Scranton Penguins,22,Adirondack Phantoms
101,5,Calgary Flames,28,Toronto Maple Leafs ,9,Springfield Falcons,18,Albany Devils
101,18,New Jersey Devils,13,Florida Panthers ,3,Providence Bruins,20,Hartford Wolf Pack
101,4,Buffalo Sabres,19,New York Islanders ,8,Lake Erie Monsters,30,Hershey Bears
101,27,Tampa Bay Lightning,6,Carolina Hurricanes ,26,Worcester Sharks,4,Portland Pirates
101,9,Columbus Blue Jackets,11,Detroit Red Wings ,14,Manchester Monarchs,21,Binghampton Senators
101,20,New York Rangers,16,Montreal Canadiens ,19,Bridgeport Sound Tigers,27,Norfolk Admirals
101,1,Anaheim Ducks,23,Phoenix Coyotes ,13,Rochester Americans,1,Syracuse Crunch
101,2,Atlanta Thrashers,10,Dallas Stars ,7,Rockford IceHogs,2,Chicago Wolves
101,7,Chicago Blackhawks,17,Nashville Predators ,12,Oklahoma City Barons,23,San Antonio Rampage
101,12,Edmonton Oilers,14,Los Angeles Kings ,10,Dallas Stars,25,Peoria Rivermen
101,25,St. Louis Blues,26,San Jose Sharks ,17,Milwaukee Admirals,29,Manitoba Moose
101,-,-,-,-,11,Grand Rapids Griffins,15,Houston Aeros
102,21,Ottawa Senators,30,Washington Capitals ,28,Toronto Marlies,5,Abbotsford Heat
102,29,Vancouver Canucks,15,Minnesota Wild ,24,Wilkes-Barre/Scranton Penguins,20,Hartford Wolf Pack
102,17,Nashville Predators,7,Chicago Blackhawks ,4,Portland Pirates,9,Springfield Falcons
102,22,Philadelphia Flyers,20,New York Rangers ,22,Adirondack Phantoms,1,Syracuse Crunch
102,12,Edmonton Oilers,1,Anaheim Ducks ,26,Worcester Sharks,3,Providence Bruins
102,-,-,-,-,27,Norfolk Admirals,6,Charlotte Checkers
102,-,-,-,-,23,San Antonio Rampage,2,Chicago Wolves
102,-,-,-,-,30,Hershey Bears,21,Binghampton Senators
102,-,-,-,-,11,Grand Rapids Griffins,15,Houston Aeros
102,-,-,-,-,8,Lake Erie Monsters,13,Rochester Americans
103,18,New Jersey Devils,19,New York Islanders ,23,San Antonio Rampage,7,Rockford IceHogs
103,6,Carolina Hurricanes,3,Boston Bruins ,-,-,-,-
103,26,San Jose Sharks,23,Phoenix Coyotes ,-,-,-,-
103,5,Calgary Flames,16,Montreal Canadiens ,-,-,-,-
103,2,Atlanta Thrashers,13,Florida Panthers ,-,-,-,-
103,14,Los Angeles Kings,10,Dallas Stars ,-,-,-,-
104,11,Detroit Red Wings,24,Pittsburgh Penguins ,3,Providence Bruins,19,Bridgeport Sound Tigers
104,3,Boston Bruins,6,Carolina Hurricanes ,13,Rochester Americans,16,Hamilton Bulldogs
104,16,Montreal Canadiens,4,Buffalo Sabres ,12,Oklahoma City Barons,8,Lake Erie Monsters
104,30,Washington Capitals,22,Philadelphia Flyers ,1,Syracuse Crunch,27,Norfolk Admirals
104,9,Columbus Blue Jackets,27,Tampa Bay Lightning ,28,Toronto Marlies,29,Manitoba Moose
104,1,Anaheim Ducks,21,Ottawa Senators ,11,Grand Rapids Griffins,10,Dallas Stars
104,14,Los Angeles Kings,25,St.Louis Blues ,25,Peoria Rivermen,5,Abbotsford Heat
104,29,Vancouver Canucks,8,Colorado Avalanche ,-,-,-,-
104,17,Nashville Predators,23,Phoenix Coyotes ,-,-,-,-
104,15,Minnesota Wild,12,Edmonton Oilers ,-,-,-,-
105,28,Toronto Maple Leafs,20,New York Rangers ,21,Binghampton Senators,18,Albany Devils
105,9,Columbus Blue Jackets,13,Florida Panthers ,9,Springfield Falcons,6,Charlotte Checkers
105,15,Minnesota Wild,5,Calgary Flames ,1,Syracuse Crunch,24,Wilkes-Barre/Scranton Penguins
105,-,-,-,-,28,Toronto Marlies,29,Manitoba Moose
105,-,-,-,-,25,Peoria Rivermen,5,Abbotsford Heat
106,24,Pittsburgh Penguins,18,New Jersey Devils ,13,Rochester Americans,8,Lake Erie Monsters
106,4,Buffalo Sabres,3,Boston Bruins ,12,Oklahoma City Barons,17,Milwaukee Admirals
106,21,Ottawa Senators,22,Philadelphia Flyers ,-,-,-,-
106,30,Washington Capitals,19,New York Islanders ,-,-,-,-
106,1,Anaheim Ducks,28,Toronto Maple Leafs ,-,-,-,-
106,27,Tampa Bay Lightning,2,Atlanta Thrashers ,-,-,-,-
106,20,New York Rangers,6,Carolina Hurricanes ,-,-,-,-
106,11,Detroit Red Wings,25,St.Louis Blues ,-,-,-,-
106,17,Nashville Predators,8,Colorado Avalanche ,-,-,-,-
106,10,Dallas Stars,12,Edmonton Oilers ,-,-,-,-
106,26,San Jose Sharks,29,Vancouver Canucks ,-,-,-,-
106,23,Phoenix Coyotes,14,Los Angeles Kings ,-,-,-,-
107,27,Tampa Bay Lightning,13,Florida Panthers ,24,Wilkes-Barre/Scranton Penguins,22,Adirondack Phantoms
107,19,New York Islanders,4,Buffalo Sabres ,9,Springfield Falcons,6,Charlotte Checkers
107,16,Montreal Canadiens,21,Ottawa Senators ,2,Chicago Wolves,11,Grand Rapids Griffins
107,10,Dallas Stars,5,Calgary Flames ,16,Hamilton Bulldogs,20,Hartford Wolf Pack
107,-,-,-,-,18,Albany Devils,30,Hershey Bears
107,-,-,-,-,26,Worcester Sharks,4,Portland Pirates
107,-,-,-,-,27,Norfolk Admirals,21,Binghampton Senators
107,-,-,-,-,14,Manchester Monarchs,3,Providence Bruins
107,-,-,-,-,13,Rochester Americans,1,Syracuse Crunch
107,-,-,-,-,23,San Antonio Rampage,17,Milwaukee Admirals
107,-,-,-,-,12,Oklahoma City Barons,7,Rockford IceHogs
107,-,-,-,-,5,Abbotsford Heat,29,Manitoba Moose
107,-,-,-,-,10,Dallas Stars,15,Houston Aeros
108,18,New Jersey Devils,22,Philadelphia Flyers ,25,Peoria Rivermen,28,Toronto Marlies
108,7,Chicago Blackhawks,11,Detroit Red Wings ,16,Hamilton Bulldogs,22,Adirondack Phantoms
108,3,Boston Bruins,8,Colorado Avalanche ,13,Rochester Americans,30,Hershey Bears
108,6,Carolina Hurricanes,24,Pittsburgh Penguins ,21,Binghampton Senators,14,Manchester Monarchs
108,20,New York Rangers,2,Atlanta Thrashers ,3,Providence Bruins,4,Portland Pirates
108,1,Anaheim Ducks,16,Montreal Canadiens ,19,Bridgeport Sound Tigers,26,Worcester Sharks
108,30,Washington Capitals,28,Toronto Maple Leafs ,18,Albany Devils,24,Wilkes-Barre/Scranton Penguins
108,9,Columbus Blue Jackets,25,St.Louis Blues ,15,Houston Aeros,8,Lake Erie Monsters
108,14,Los Angeles Kings,23,Phoenix Coyotes ,20,Hartford Wolf Pack,9,Springfield Falcons
108,5,Calgary Flames,29,Vancouver Canucks ,27,Norfolk Admirals,1,Syracuse Crunch
108,15,Minnesota Wild,26,San Jose Sharks ,2,Chicago Wolves,11,Grand Rapids Griffins
108,-,-,-,-,17,Milwaukee Admirals,10,Dallas Stars
108,-,-,-,-,23,San Antonio Rampage,7,Rockford IceHogs
109,13,Florida Panthers,18,New Jersey Devils ,5,Abbotsford Heat,29,Manitoba Moose
109,4,Buffalo Sabres,19,New York Islanders ,25,Peoria Rivermen,8,Lake Erie Monsters
109,22,Philadelphia Flyers,7,Chicago Blackhawks ,19,Bridgeport Sound Tigers,9,Springfield Falcons
109,2,Atlanta Thrashers,27,Tampa Bay Lightning ,4,Portland Pirates,26,Worcester Sharks
109,17,Nashville Predators,12,Edmonton Oilers ,6,Charlotte Checkers,24,Wilkes-Barre/Scranton Penguins
109,-,-,-,-,12,Oklahoma City Barons,2,Chicago Wolves
109,-,-,-,-,14,Manchester Monarchs,3,Providence Bruins
109,-,-,-,-,22,Adirondack Phantoms,30,Hershey Bears
109,-,-,-,-,15,Houston Aeros,28,Toronto Marlies
110,20,New York Rangers,30,Washington Capitals ,23,San Antonio Rampage,10,Dallas Stars
110,28,Toronto Maple Leafs,6,Carolina Hurricanes ,-,-,-,-
110,17,Nashville Predators,5,Calgary Flames ,-,-,-,-
110,25,St. Louis Blues,8,Colorado Avalanche ,-,-,-,-
110,10,Dallas Stars,29,Vancouver Canucks ,-,-,-,-
110,3,Boston Bruins,14,Los Angeles Kings ,-,-,-,-
111,13,Florida Panthers,20,New York Rangers ,27,Norfolk Admirals,4,Portland Pirates
111,1,Anaheim Ducks,9,Columbus Blue Jackets ,18,Albany Devils,19,Bridgeport Sound Tigers
111,19,New York Islanders,24,Pittsburgh Penguins ,3,Providence Bruins,20,Hartford Wolf Pack
111,16,Montreal Canadiens,22,Philadelphia Flyers ,7,Rockford IceHogs,25,Peoria Rivermen
111,4,Buffalo Sabres,21,Ottawa Senators ,-,-,-,-
111,28,Toronto Maple Leafs,27,Tampa Bay Lightning ,-,-,-,-
111,15,Minnesota Wild,7,Chicago Blackhawks ,-,-,-,-
111,12,Edmonton Oilers,23,Phoenix Coyotes ,-,-,-,-
112,18,New Jersey Devils,11,Detroit Red Wings ,29,Manitoba Moose,16,Hamilton Bulldogs
112,13,Florida Panthers,3,Boston Bruins ,5,Abbotsford Heat,23,San Antonio Rampage
112,30,Washington Capitals,2,Atlanta Thrashers ,21,Binghampton Senators,22,Adirondack Phantoms
112,6,Carolina Hurricanes,19,New York Islanders ,9,Springfield Falcons,30,Hershey Bears
112,12,Edmonton Oilers,10,Dallas Stars ,28,Toronto Marlies,8,Lake Erie Monsters
112,23,Phoenix Coyotes,8,Colorado Avalanche ,27,Norfolk Admirals,14,Manchester Monarchs
112,25,St. Louis Blues,5,Calgary Flames ,15,Houston Aeros,1,Syracuse Crunch
112,17,Nashville Predators,29,Vancouver Canucks ,11,Grand Rapids Griffins,13,Rochester Americans
112,26,San Jose Sharks,14,Los Angeles Kings ,6,Charlotte Checkers,24,Wilkes-Barre/Scranton Penguins
112,-,-,-,-,2,Chicago Wolves,12,Oklahoma City Barons
113,-,-,-,-,8,Lake Erie Monsters,16,Hamilton Bulldogs
114,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,18,Albany Devils
114,-,-,-,-,7,Rockford IceHogs,11,Grand Rapids Griffins
114,-,-,-,-,14,Manchester Monarchs,20,Hartford Wolf Pack
114,-,-,-,-,30,Hershey Bears,21,Binghampton Senators
114,-,-,-,-,10,Dallas Stars,12,Oklahoma City Barons
114,-,-,-,-,4,Portland Pirates,3,Providence Bruins
114,-,-,-,-,6,Charlotte Checkers,22,Adirondack Phantoms
114,-,-,-,-,9,Springfield Falcons,27,Norfolk Admirals
114,-,-,-,-,28,Toronto Marlies,1,Syracuse Crunch
114,-,-,-,-,19,Bridgeport Sound Tigers,26,Worcester Sharks
114,-,-,-,-,29,Manitoba Moose,13,Rochester Americans
114,-,-,-,-,25,Peoria Rivermen,17,Milwaukee Admirals
114,-,-,-,-,2,Chicago Wolves,23,San Antonio Rampage
114,-,-,-,-,5,Abbotsford Heat,15,Houston Aeros
115,-,-,-,-,6,Charlotte Checkers,30,Hershey Bears
115,-,-,-,-,29,Manitoba Moose,28,Toronto Marlies
115,-,-,-,-,13,Rochester Americans,18,Albany Devils
115,-,-,-,-,4,Portland Pirates,20,Hartford Wolf Pack
115,-,-,-,-,19,Bridgeport Sound Tigers,14,Manchester Monarchs
115,-,-,-,-,3,Providence Bruins,26,Worcester Sharks
115,-,-,-,-,24,Wilkes-Barre/Scranton Penguins,21,Binghampton Senators
115,-,-,-,-,9,Springfield Falcons,27,Norfolk Admirals
115,-,-,-,-,16,Hamilton Bulldogs,8,Lake Erie Monsters
115,-,-,-,-,22,Adirondack Phantoms,1,Syracuse Crunch
115,-,-,-,-,5,Abbotsford Heat,10,Dallas Stars
